index,category_1,category_2,counts,date,week_no
1,Total deaths,all ages,12968,2010-01-08,1
2,Total deaths,all ages,12541,2010-01-15,2
3,Total deaths,all ages,11762,2010-01-22,3
4,Total deaths,all ages,11056,2010-01-29,4
5,Total deaths,all ages,10524,2010-02-05,5
6,Total deaths,all ages,10117,2010-02-12,6
7,Total deaths,all ages,10102,2010-02-19,7
8,Total deaths,all ages,10295,2010-02-26,8
9,Total deaths,all ages,9981,2010-03-05,9
10,Total deaths,all ages,9792,2010-03-12,10
11,Total deaths,all ages,9729,2010-03-19,11
12,Total deaths,all ages,9631,2010-03-26,12
13,Total deaths,all ages,8004,2010-04-02,13
14,Total deaths,all ages,9756,2010-04-09,14
15,Total deaths,all ages,9892,2010-04-16,15
16,Total deaths,all ages,9449,2010-04-23,16
17,Total deaths,all ages,9503,2010-04-30,17
18,Total deaths,all ages,8343,2010-05-07,18
19,Total deaths,all ages,9483,2010-05-14,19
20,Total deaths,all ages,9190,2010-05-21,20
21,Total deaths,all ages,9452,2010-05-28,21
22,Total deaths,all ages,8178,2010-06-04,22
23,Total deaths,all ages,9259,2010-06-11,23
24,Total deaths,all ages,8513,2010-06-18,24
25,Total deaths,all ages,8461,2010-06-25,25
26,Total deaths,all ages,8973,2010-07-02,26
27,Total deaths,all ages,8627,2010-07-09,27
28,Total deaths,all ages,8541,2010-07-16,28
29,Total deaths,all ages,8261,2010-07-23,29
30,Total deaths,all ages,8257,2010-07-30,30
31,Total deaths,all ages,8467,2010-08-06,31
32,Total deaths,all ages,8318,2010-08-13,32
33,Total deaths,all ages,8584,2010-08-20,33
34,Total deaths,all ages,8635,2010-08-27,34
35,Total deaths,all ages,7708,2010-09-03,35
36,Total deaths,all ages,8961,2010-09-10,36
37,Total deaths,all ages,8727,2010-09-17,37
38,Total deaths,all ages,8943,2010-09-24,38
39,Total deaths,all ages,8759,2010-10-01,39
40,Total deaths,all ages,9195,2010-10-08,40
41,Total deaths,all ages,9218,2010-10-15,41
42,Total deaths,all ages,9286,2010-10-22,42
43,Total deaths,all ages,9275,2010-10-29,43
44,Total deaths,all ages,9668,2010-11-05,44
45,Total deaths,all ages,9406,2010-11-12,45
46,Total deaths,all ages,9437,2010-11-19,46
47,Total deaths,all ages,9473,2010-11-26,47
48,Total deaths,all ages,9220,2010-12-03,48
49,Total deaths,all ages,11193,2010-12-10,49
50,Total deaths,all ages,10880,2010-12-17,50
51,Total deaths,all ages,11484,2010-12-24,51
52,Total deaths,all ages,9689,2010-12-31,52
53,Total deaths,average of same week over 5 years,12050,2010-01-08,1
54,Total deaths,average of same week over 5 years,12600,2010-01-15,2
55,Total deaths,average of same week over 5 years,11692.2,2010-01-22,3
56,Total deaths,average of same week over 5 years,11069.2,2010-01-29,4
57,Total deaths,average of same week over 5 years,10840.4,2010-02-05,5
58,Total deaths,average of same week over 5 years,10602.4,2010-02-12,6
59,Total deaths,average of same week over 5 years,10774.8,2010-02-19,7
60,Total deaths,average of same week over 5 years,10715.2,2010-02-26,8
61,Total deaths,average of same week over 5 years,10793.8,2010-03-05,9
62,Total deaths,average of same week over 5 years,10572.8,2010-03-12,10
63,Total deaths,average of same week over 5 years,10432.2,2010-03-19,11
64,Total deaths,average of same week over 5 years,9646.8,2010-03-26,12
65,Total deaths,average of same week over 5 years,10315,2010-04-02,13
66,Total deaths,average of same week over 5 years,10013.8,2010-04-09,14
67,Total deaths,average of same week over 5 years,9696,2010-04-16,15
68,Total deaths,average of same week over 5 years,10259.8,2010-04-23,16
69,Total deaths,average of same week over 5 years,10025,2010-04-30,17
70,Total deaths,average of same week over 5 years,9378.8,2010-05-07,18
71,Total deaths,average of same week over 5 years,9090,2010-05-14,19
72,Total deaths,average of same week over 5 years,9474.8,2010-05-21,20
73,Total deaths,average of same week over 5 years,9384.2,2010-05-28,21
74,Total deaths,average of same week over 5 years,8464.6,2010-06-04,22
75,Total deaths,average of same week over 5 years,9332.4,2010-06-11,23
76,Total deaths,average of same week over 5 years,9072.8,2010-06-18,24
77,Total deaths,average of same week over 5 years,9013.8,2010-06-25,25
78,Total deaths,average of same week over 5 years,8791.6,2010-07-02,26
79,Total deaths,average of same week over 5 years,8914,2010-07-09,27
80,Total deaths,average of same week over 5 years,8745.2,2010-07-16,28
81,Total deaths,average of same week over 5 years,8762.8,2010-07-23,29
82,Total deaths,average of same week over 5 years,8846.2,2010-07-30,30
83,Total deaths,average of same week over 5 years,8669.4,2010-08-06,31
84,Total deaths,average of same week over 5 years,8611.4,2010-08-13,32
85,Total deaths,average of same week over 5 years,8651.4,2010-08-20,33
86,Total deaths,average of same week over 5 years,8683.8,2010-08-27,34
87,Total deaths,average of same week over 5 years,8100.8,2010-09-03,35
88,Total deaths,average of same week over 5 years,8596.4,2010-09-10,36
89,Total deaths,average of same week over 5 years,8654,2010-09-17,37
90,Total deaths,average of same week over 5 years,8652.4,2010-09-24,38
91,Total deaths,average of same week over 5 years,8827,2010-10-01,39
92,Total deaths,average of same week over 5 years,8894.6,2010-10-08,40
93,Total deaths,average of same week over 5 years,9124.6,2010-10-15,41
94,Total deaths,average of same week over 5 years,9192,2010-10-22,42
95,Total deaths,average of same week over 5 years,9327.6,2010-10-29,43
96,Total deaths,average of same week over 5 years,9420.2,2010-11-05,44
97,Total deaths,average of same week over 5 years,9547.8,2010-11-12,45
98,Total deaths,average of same week over 5 years,9671.2,2010-11-19,46
99,Total deaths,average of same week over 5 years,9856,2010-11-26,47
100,Total deaths,average of same week over 5 years,9898.4,2010-12-03,48
101,Total deaths,average of same week over 5 years,10175.2,2010-12-10,49
102,Total deaths,average of same week over 5 years,10453.6,2010-12-17,50
103,Total deaths,average of same week over 5 years,10925,2010-12-24,51
104,Total deaths,average of same week over 5 years,8825,2010-12-31,52
105,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,2345,2010-01-08,1
106,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,2293,2010-01-15,2
107,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1955,2010-01-22,3
108,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1698,2010-01-29,4
109,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1635,2010-02-05,5
110,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1566,2010-02-12,6
111,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1551,2010-02-19,7
112,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1468,2010-02-26,8
113,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1412,2010-03-05,9
114,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1381,2010-03-12,10
115,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1303,2010-03-19,11
116,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1290,2010-03-26,12
117,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1092,2010-04-02,13
118,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1415,2010-04-09,14
119,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1305,2010-04-16,15
120,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1233,2010-04-23,16
121,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1232,2010-04-30,17
122,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1144,2010-05-07,18
123,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1214,2010-05-14,19
124,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1164,2010-05-21,20
125,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1315,2010-05-28,21
126,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1057,2010-06-04,22
127,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1191,2010-06-11,23
128,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,988,2010-06-18,24
129,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,984,2010-06-25,25
130,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1135,2010-07-02,26
131,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1074,2010-07-09,27
132,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,978,2010-07-16,28
133,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,878,2010-07-23,29
134,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,903,2010-07-30,30
135,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,906,2010-08-06,31
136,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,914,2010-08-13,32
137,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1046,2010-08-20,33
138,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,962,2010-08-27,34
139,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,888,2010-09-03,35
140,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1032,2010-09-10,36
141,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1003,2010-09-17,37
142,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1012,2010-09-24,38
143,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1068,2010-10-01,39
144,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1183,2010-10-08,40
145,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1188,2010-10-15,41
146,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1232,2010-10-22,42
147,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1194,2010-10-29,43
148,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1306,2010-11-05,44
149,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1274,2010-11-12,45
150,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1224,2010-11-19,46
151,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1250,2010-11-26,47
152,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1215,2010-12-03,48
153,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1586,2010-12-10,49
154,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1674,2010-12-17,50
155,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,2000,2010-12-24,51
156,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2001,1916,2010-12-31,52
157,Persons,Under 1 year,61,2010-01-08,1
158,Persons,Under 1 year,69,2010-01-15,2
159,Persons,Under 1 year,66,2010-01-22,3
160,Persons,Under 1 year,68,2010-01-29,4
161,Persons,Under 1 year,72,2010-02-05,5
162,Persons,Under 1 year,79,2010-02-12,6
163,Persons,Under 1 year,71,2010-02-19,7
164,Persons,Under 1 year,73,2010-02-26,8
165,Persons,Under 1 year,55,2010-03-05,9
166,Persons,Under 1 year,45,2010-03-12,10
167,Persons,Under 1 year,53,2010-03-19,11
168,Persons,Under 1 year,61,2010-03-26,12
169,Persons,Under 1 year,50,2010-04-02,13
170,Persons,Under 1 year,66,2010-04-09,14
171,Persons,Under 1 year,63,2010-04-16,15
172,Persons,Under 1 year,66,2010-04-23,16
173,Persons,Under 1 year,59,2010-04-30,17
174,Persons,Under 1 year,59,2010-05-07,18
175,Persons,Under 1 year,70,2010-05-14,19
176,Persons,Under 1 year,71,2010-05-21,20
177,Persons,Under 1 year,78,2010-05-28,21
178,Persons,Under 1 year,49,2010-06-04,22
179,Persons,Under 1 year,46,2010-06-11,23
180,Persons,Under 1 year,72,2010-06-18,24
181,Persons,Under 1 year,57,2010-06-25,25
182,Persons,Under 1 year,58,2010-07-02,26
183,Persons,Under 1 year,61,2010-07-09,27
184,Persons,Under 1 year,74,2010-07-16,28
185,Persons,Under 1 year,55,2010-07-23,29
186,Persons,Under 1 year,68,2010-07-30,30
187,Persons,Under 1 year,61,2010-08-06,31
188,Persons,Under 1 year,62,2010-08-13,32
189,Persons,Under 1 year,46,2010-08-20,33
190,Persons,Under 1 year,58,2010-08-27,34
191,Persons,Under 1 year,52,2010-09-03,35
192,Persons,Under 1 year,54,2010-09-10,36
193,Persons,Under 1 year,68,2010-09-17,37
194,Persons,Under 1 year,67,2010-09-24,38
195,Persons,Under 1 year,68,2010-10-01,39
196,Persons,Under 1 year,66,2010-10-08,40
197,Persons,Under 1 year,70,2010-10-15,41
198,Persons,Under 1 year,46,2010-10-22,42
199,Persons,Under 1 year,55,2010-10-29,43
200,Persons,Under 1 year,66,2010-11-05,44
201,Persons,Under 1 year,58,2010-11-12,45
202,Persons,Under 1 year,55,2010-11-19,46
203,Persons,Under 1 year,57,2010-11-26,47
204,Persons,Under 1 year,51,2010-12-03,48
205,Persons,Under 1 year,59,2010-12-10,49
206,Persons,Under 1 year,62,2010-12-17,50
207,Persons,Under 1 year,64,2010-12-24,51
208,Persons,Under 1 year,40,2010-12-31,52
209,Persons,01-14,24,2010-01-08,1
210,Persons,01-14,29,2010-01-15,2
211,Persons,01-14,18,2010-01-22,3
212,Persons,01-14,21,2010-01-29,4
213,Persons,01-14,18,2010-02-05,5
214,Persons,01-14,28,2010-02-12,6
215,Persons,01-14,17,2010-02-19,7
216,Persons,01-14,27,2010-02-26,8
217,Persons,01-14,31,2010-03-05,9
218,Persons,01-14,28,2010-03-12,10
219,Persons,01-14,24,2010-03-19,11
220,Persons,01-14,32,2010-03-26,12
221,Persons,01-14,16,2010-04-02,13
222,Persons,01-14,19,2010-04-09,14
223,Persons,01-14,21,2010-04-16,15
224,Persons,01-14,31,2010-04-23,16
225,Persons,01-14,19,2010-04-30,17
226,Persons,01-14,13,2010-05-07,18
227,Persons,01-14,25,2010-05-14,19
228,Persons,01-14,22,2010-05-21,20
229,Persons,01-14,26,2010-05-28,21
230,Persons,01-14,20,2010-06-04,22
231,Persons,01-14,14,2010-06-11,23
232,Persons,01-14,18,2010-06-18,24
233,Persons,01-14,15,2010-06-25,25
234,Persons,01-14,22,2010-07-02,26
235,Persons,01-14,20,2010-07-09,27
236,Persons,01-14,26,2010-07-16,28
237,Persons,01-14,19,2010-07-23,29
238,Persons,01-14,15,2010-07-30,30
239,Persons,01-14,17,2010-08-06,31
240,Persons,01-14,20,2010-08-13,32
241,Persons,01-14,20,2010-08-20,33
242,Persons,01-14,13,2010-08-27,34
243,Persons,01-14,13,2010-09-03,35
244,Persons,01-14,22,2010-09-10,36
245,Persons,01-14,21,2010-09-17,37
246,Persons,01-14,19,2010-09-24,38
247,Persons,01-14,23,2010-10-01,39
248,Persons,01-14,24,2010-10-08,40
249,Persons,01-14,28,2010-10-15,41
250,Persons,01-14,22,2010-10-22,42
251,Persons,01-14,23,2010-10-29,43
252,Persons,01-14,21,2010-11-05,44
253,Persons,01-14,16,2010-11-12,45
254,Persons,01-14,11,2010-11-19,46
255,Persons,01-14,23,2010-11-26,47
256,Persons,01-14,19,2010-12-03,48
257,Persons,01-14,29,2010-12-10,49
258,Persons,01-14,23,2010-12-17,50
259,Persons,01-14,35,2010-12-24,51
260,Persons,01-14,21,2010-12-31,52
261,Persons,15-44,299,2010-01-08,1
262,Persons,15-44,331,2010-01-15,2
263,Persons,15-44,347,2010-01-22,3
264,Persons,15-44,336,2010-01-29,4
265,Persons,15-44,317,2010-02-05,5
266,Persons,15-44,308,2010-02-12,6
267,Persons,15-44,329,2010-02-19,7
268,Persons,15-44,340,2010-02-26,8
269,Persons,15-44,348,2010-03-05,9
270,Persons,15-44,334,2010-03-12,10
271,Persons,15-44,294,2010-03-19,11
272,Persons,15-44,303,2010-03-26,12
273,Persons,15-44,230,2010-04-02,13
274,Persons,15-44,288,2010-04-09,14
275,Persons,15-44,321,2010-04-16,15
276,Persons,15-44,333,2010-04-23,16
277,Persons,15-44,325,2010-04-30,17
278,Persons,15-44,240,2010-05-07,18
279,Persons,15-44,335,2010-05-14,19
280,Persons,15-44,356,2010-05-21,20
281,Persons,15-44,352,2010-05-28,21
282,Persons,15-44,244,2010-06-04,22
283,Persons,15-44,303,2010-06-11,23
284,Persons,15-44,291,2010-06-18,24
285,Persons,15-44,311,2010-06-25,25
286,Persons,15-44,279,2010-07-02,26
287,Persons,15-44,313,2010-07-09,27
288,Persons,15-44,291,2010-07-16,28
289,Persons,15-44,302,2010-07-23,29
290,Persons,15-44,289,2010-07-30,30
291,Persons,15-44,355,2010-08-06,31
292,Persons,15-44,327,2010-08-13,32
293,Persons,15-44,280,2010-08-20,33
294,Persons,15-44,278,2010-08-27,34
295,Persons,15-44,249,2010-09-03,35
296,Persons,15-44,322,2010-09-10,36
297,Persons,15-44,320,2010-09-17,37
298,Persons,15-44,317,2010-09-24,38
299,Persons,15-44,282,2010-10-01,39
300,Persons,15-44,315,2010-10-08,40
301,Persons,15-44,307,2010-10-15,41
302,Persons,15-44,318,2010-10-22,42
303,Persons,15-44,323,2010-10-29,43
304,Persons,15-44,318,2010-11-05,44
305,Persons,15-44,307,2010-11-12,45
306,Persons,15-44,319,2010-11-19,46
307,Persons,15-44,307,2010-11-26,47
308,Persons,15-44,280,2010-12-03,48
309,Persons,15-44,338,2010-12-10,49
310,Persons,15-44,349,2010-12-17,50
311,Persons,15-44,405,2010-12-24,51
312,Persons,15-44,218,2010-12-31,52
313,Persons,45-64,1570,2010-01-08,1
314,Persons,45-64,1465,2010-01-15,2
315,Persons,45-64,1392,2010-01-22,3
316,Persons,45-64,1300,2010-01-29,4
317,Persons,45-64,1308,2010-02-05,5
318,Persons,45-64,1239,2010-02-12,6
319,Persons,45-64,1276,2010-02-19,7
320,Persons,45-64,1315,2010-02-26,8
321,Persons,45-64,1230,2010-03-05,9
322,Persons,45-64,1259,2010-03-12,10
323,Persons,45-64,1307,2010-03-19,11
324,Persons,45-64,1227,2010-03-26,12
325,Persons,45-64,1035,2010-04-02,13
326,Persons,45-64,1242,2010-04-09,14
327,Persons,45-64,1276,2010-04-16,15
328,Persons,45-64,1243,2010-04-23,16
329,Persons,45-64,1220,2010-04-30,17
330,Persons,45-64,1119,2010-05-07,18
331,Persons,45-64,1262,2010-05-14,19
332,Persons,45-64,1165,2010-05-21,20
333,Persons,45-64,1205,2010-05-28,21
334,Persons,45-64,1080,2010-06-04,22
335,Persons,45-64,1292,2010-06-11,23
336,Persons,45-64,1182,2010-06-18,24
337,Persons,45-64,1145,2010-06-25,25
338,Persons,45-64,1161,2010-07-02,26
339,Persons,45-64,1203,2010-07-09,27
340,Persons,45-64,1174,2010-07-16,28
341,Persons,45-64,1200,2010-07-23,29
342,Persons,45-64,1075,2010-07-30,30
343,Persons,45-64,1211,2010-08-06,31
344,Persons,45-64,1086,2010-08-13,32
345,Persons,45-64,1144,2010-08-20,33
346,Persons,45-64,1160,2010-08-27,34
347,Persons,45-64,1045,2010-09-03,35
348,Persons,45-64,1176,2010-09-10,36
349,Persons,45-64,1206,2010-09-17,37
350,Persons,45-64,1131,2010-09-24,38
351,Persons,45-64,1160,2010-10-01,39
352,Persons,45-64,1214,2010-10-08,40
353,Persons,45-64,1315,2010-10-15,41
354,Persons,45-64,1205,2010-10-22,42
355,Persons,45-64,1198,2010-10-29,43
356,Persons,45-64,1215,2010-11-05,44
357,Persons,45-64,1221,2010-11-12,45
358,Persons,45-64,1185,2010-11-19,46
359,Persons,45-64,1198,2010-11-26,47
360,Persons,45-64,1199,2010-12-03,48
361,Persons,45-64,1396,2010-12-10,49
362,Persons,45-64,1466,2010-12-17,50
363,Persons,45-64,1463,2010-12-24,51
364,Persons,45-64,1254,2010-12-31,52
365,Persons,65-74,2049,2010-01-08,1
366,Persons,65-74,1860,2010-01-15,2
367,Persons,65-74,1781,2010-01-22,3
368,Persons,65-74,1666,2010-01-29,4
369,Persons,65-74,1588,2010-02-05,5
370,Persons,65-74,1596,2010-02-12,6
371,Persons,65-74,1560,2010-02-19,7
372,Persons,65-74,1600,2010-02-26,8
373,Persons,65-74,1547,2010-03-05,9
374,Persons,65-74,1552,2010-03-12,10
375,Persons,65-74,1572,2010-03-19,11
376,Persons,65-74,1566,2010-03-26,12
377,Persons,65-74,1256,2010-04-02,13
378,Persons,65-74,1603,2010-04-09,14
379,Persons,65-74,1646,2010-04-16,15
380,Persons,65-74,1525,2010-04-23,16
381,Persons,65-74,1564,2010-04-30,17
382,Persons,65-74,1379,2010-05-07,18
383,Persons,65-74,1497,2010-05-14,19
384,Persons,65-74,1525,2010-05-21,20
385,Persons,65-74,1616,2010-05-28,21
386,Persons,65-74,1371,2010-06-04,22
387,Persons,65-74,1527,2010-06-11,23
388,Persons,65-74,1497,2010-06-18,24
389,Persons,65-74,1437,2010-06-25,25
390,Persons,65-74,1497,2010-07-02,26
391,Persons,65-74,1376,2010-07-09,27
392,Persons,65-74,1404,2010-07-16,28
393,Persons,65-74,1359,2010-07-23,29
394,Persons,65-74,1377,2010-07-30,30
395,Persons,65-74,1434,2010-08-06,31
396,Persons,65-74,1386,2010-08-13,32
397,Persons,65-74,1425,2010-08-20,33
398,Persons,65-74,1462,2010-08-27,34
399,Persons,65-74,1292,2010-09-03,35
400,Persons,65-74,1539,2010-09-10,36
401,Persons,65-74,1476,2010-09-17,37
402,Persons,65-74,1455,2010-09-24,38
403,Persons,65-74,1440,2010-10-01,39
404,Persons,65-74,1455,2010-10-08,40
405,Persons,65-74,1467,2010-10-15,41
406,Persons,65-74,1495,2010-10-22,42
407,Persons,65-74,1462,2010-10-29,43
408,Persons,65-74,1581,2010-11-05,44
409,Persons,65-74,1507,2010-11-12,45
410,Persons,65-74,1540,2010-11-19,46
411,Persons,65-74,1502,2010-11-26,47
412,Persons,65-74,1516,2010-12-03,48
413,Persons,65-74,1736,2010-12-10,49
414,Persons,65-74,1642,2010-12-17,50
415,Persons,65-74,1796,2010-12-24,51
416,Persons,65-74,1514,2010-12-31,52
417,Persons,75-84,3952,2010-01-08,1
418,Persons,75-84,3883,2010-01-15,2
419,Persons,75-84,3501,2010-01-22,3
420,Persons,75-84,3359,2010-01-29,4
421,Persons,75-84,3123,2010-02-05,5
422,Persons,75-84,3002,2010-02-12,6
423,Persons,75-84,3015,2010-02-19,7
424,Persons,75-84,3106,2010-02-26,8
425,Persons,75-84,3003,2010-03-05,9
426,Persons,75-84,2917,2010-03-12,10
427,Persons,75-84,2895,2010-03-19,11
428,Persons,75-84,2870,2010-03-26,12
429,Persons,75-84,2385,2010-04-02,13
430,Persons,75-84,2958,2010-04-09,14
431,Persons,75-84,3058,2010-04-16,15
432,Persons,75-84,2821,2010-04-23,16
433,Persons,75-84,2857,2010-04-30,17
434,Persons,75-84,2574,2010-05-07,18
435,Persons,75-84,2973,2010-05-14,19
436,Persons,75-84,2689,2010-05-21,20
437,Persons,75-84,2861,2010-05-28,21
438,Persons,75-84,2416,2010-06-04,22
439,Persons,75-84,2727,2010-06-11,23
440,Persons,75-84,2530,2010-06-18,24
441,Persons,75-84,2502,2010-06-25,25
442,Persons,75-84,2644,2010-07-02,26
443,Persons,75-84,2688,2010-07-09,27
444,Persons,75-84,2582,2010-07-16,28
445,Persons,75-84,2533,2010-07-23,29
446,Persons,75-84,2464,2010-07-30,30
447,Persons,75-84,2557,2010-08-06,31
448,Persons,75-84,2478,2010-08-13,32
449,Persons,75-84,2604,2010-08-20,33
450,Persons,75-84,2531,2010-08-27,34
451,Persons,75-84,2316,2010-09-03,35
452,Persons,75-84,2684,2010-09-10,36
453,Persons,75-84,2534,2010-09-17,37
454,Persons,75-84,2651,2010-09-24,38
455,Persons,75-84,2564,2010-10-01,39
456,Persons,75-84,2785,2010-10-08,40
457,Persons,75-84,2703,2010-10-15,41
458,Persons,75-84,2766,2010-10-22,42
459,Persons,75-84,2861,2010-10-29,43
460,Persons,75-84,2851,2010-11-05,44
461,Persons,75-84,2829,2010-11-12,45
462,Persons,75-84,2856,2010-11-19,46
463,Persons,75-84,2932,2010-11-26,47
464,Persons,75-84,2764,2010-12-03,48
465,Persons,75-84,3336,2010-12-10,49
466,Persons,75-84,3193,2010-12-17,50
467,Persons,75-84,3465,2010-12-24,51
468,Persons,75-84,2861,2010-12-31,52
469,Persons,85+,5012,2010-01-08,1
470,Persons,85+,4902,2010-01-15,2
471,Persons,85+,4654,2010-01-22,3
472,Persons,85+,4305,2010-01-29,4
473,Persons,85+,4089,2010-02-05,5
474,Persons,85+,3864,2010-02-12,6
475,Persons,85+,3834,2010-02-19,7
476,Persons,85+,3833,2010-02-26,8
477,Persons,85+,3765,2010-03-05,9
478,Persons,85+,3653,2010-03-12,10
479,Persons,85+,3581,2010-03-19,11
480,Persons,85+,3554,2010-03-26,12
481,Persons,85+,2971,2010-04-02,13
482,Persons,85+,3553,2010-04-09,14
483,Persons,85+,3496,2010-04-16,15
484,Persons,85+,3429,2010-04-23,16
485,Persons,85+,3458,2010-04-30,17
486,Persons,85+,2955,2010-05-07,18
487,Persons,85+,3321,2010-05-14,19
488,Persons,85+,3361,2010-05-21,20
489,Persons,85+,3310,2010-05-28,21
490,Persons,85+,2996,2010-06-04,22
491,Persons,85+,3350,2010-06-11,23
492,Persons,85+,2923,2010-06-18,24
493,Persons,85+,2994,2010-06-25,25
494,Persons,85+,3306,2010-07-02,26
495,Persons,85+,2964,2010-07-09,27
496,Persons,85+,2988,2010-07-16,28
497,Persons,85+,2791,2010-07-23,29
498,Persons,85+,2965,2010-07-30,30
499,Persons,85+,2828,2010-08-06,31
500,Persons,85+,2958,2010-08-13,32
501,Persons,85+,3063,2010-08-20,33
502,Persons,85+,3123,2010-08-27,34
503,Persons,85+,2741,2010-09-03,35
504,Persons,85+,3164,2010-09-10,36
505,Persons,85+,3093,2010-09-17,37
506,Persons,85+,3299,2010-09-24,38
507,Persons,85+,3218,2010-10-01,39
508,Persons,85+,3334,2010-10-08,40
509,Persons,85+,3328,2010-10-15,41
510,Persons,85+,3433,2010-10-22,42
511,Persons,85+,3350,2010-10-29,43
512,Persons,85+,3616,2010-11-05,44
513,Persons,85+,3468,2010-11-12,45
514,Persons,85+,3471,2010-11-19,46
515,Persons,85+,3454,2010-11-26,47
516,Persons,85+,3391,2010-12-03,48
517,Persons,85+,4298,2010-12-10,49
518,Persons,85+,4145,2010-12-17,50
519,Persons,85+,4255,2010-12-24,51
520,Persons,85+,3778,2010-12-31,52
521,Males,Under 1 year,25,2010-01-08,1
522,Males,Under 1 year,40,2010-01-15,2
523,Males,Under 1 year,35,2010-01-22,3
524,Males,Under 1 year,39,2010-01-29,4
525,Males,Under 1 year,32,2010-02-05,5
526,Males,Under 1 year,45,2010-02-12,6
527,Males,Under 1 year,40,2010-02-19,7
528,Males,Under 1 year,36,2010-02-26,8
529,Males,Under 1 year,33,2010-03-05,9
530,Males,Under 1 year,27,2010-03-12,10
531,Males,Under 1 year,34,2010-03-19,11
532,Males,Under 1 year,37,2010-03-26,12
533,Males,Under 1 year,28,2010-04-02,13
534,Males,Under 1 year,35,2010-04-09,14
535,Males,Under 1 year,38,2010-04-16,15
536,Males,Under 1 year,35,2010-04-23,16
537,Males,Under 1 year,33,2010-04-30,17
538,Males,Under 1 year,32,2010-05-07,18
539,Males,Under 1 year,33,2010-05-14,19
540,Males,Under 1 year,35,2010-05-21,20
541,Males,Under 1 year,43,2010-05-28,21
542,Males,Under 1 year,30,2010-06-04,22
543,Males,Under 1 year,30,2010-06-11,23
544,Males,Under 1 year,32,2010-06-18,24
545,Males,Under 1 year,37,2010-06-25,25
546,Males,Under 1 year,31,2010-07-02,26
547,Males,Under 1 year,34,2010-07-09,27
548,Males,Under 1 year,36,2010-07-16,28
549,Males,Under 1 year,33,2010-07-23,29
550,Males,Under 1 year,40,2010-07-30,30
551,Males,Under 1 year,28,2010-08-06,31
552,Males,Under 1 year,38,2010-08-13,32
