index,week_no,year,date,counts,mort_avg,variance_from_avg
16017,18,2019,2019-05-03,11207,9804,1.1431048551611587
16018,19,2019,2019-05-10,9055,9488,0.9543634064080945
16019,20,2019,2019-05-17,10272,10036,1.023515344758868
16020,21,2019,2019-05-24,10284,9747,1.0550938750384733
16021,22,2019,2019-05-31,8260,8125,1.0166153846153847
16022,23,2019,2019-06-07,10140,9860,1.028397565922921
16023,24,2019,2019-06-14,9445,9408,1.0039328231292517
16024,25,2019,2019-06-21,9458,9302,1.016770586970544
16025,26,2019,2019-06-28,9511,9177,1.0363953361665033
16026,27,2019,2019-07-05,9062,9123,0.9933136029814754
16027,28,2019,2019-07-12,9179,9170,1.0009814612868049
16028,29,2019,2019-07-19,9080,9100,0.9978021978021978
16029,30,2019,2019-07-26,9112,9023,1.0098636817023163
16030,31,2019,2019-08-02,9271,8963,1.0343634943657258
16031,32,2019,2019-08-09,9122,9026,1.0106359406159982
16032,33,2019,2019-08-16,9093,9025,1.0075346260387812
16033,34,2019,2019-08-23,8994,9113,0.9869417315922309
16034,35,2019,2019-08-30,8242,8197,1.0054898133463461
16035,36,2019,2019-09-06,9695,9177,1.0564454614797865
16036,37,2019,2019-09-13,9513,9260,1.0273218142548597
16037,38,2019,2019-09-20,9440,9197,1.0264216592367077
16038,39,2019,2019-09-27,9517,9283,1.0252073683076592
16039,40,2019,2019-10-04,9799,9450,1.036931216931217
16040,41,2019,2019-10-11,9973,9651,1.0333644181950057
16041,42,2019,2019-10-18,10156,9726,1.0442113921447667
16042,43,2019,2019-10-25,10021,9674,1.03586934050031
16043,44,2019,2019-11-01,10164,9777,1.039582694077938
16044,45,2019,2019-11-08,10697,10142,1.0547229343324789
16045,46,2019,2019-11-15,10650,10226,1.0414629376100137
16046,47,2019,2019-11-22,10882,10124,1.0748715922560252
16047,48,2019,2019-11-29,10958,10164,1.0781188508461235
16048,49,2019,2019-12-06,10816,10585,1.0218233349078885
16049,50,2019,2019-12-13,11188,10622,1.0532856335906609
16050,51,2019,2019-12-20,11926,11499,1.0371336637968518
16051,52,2019,2019-12-27,7533,8014,0.939980034938857
