"","spring","summer","autumn","winter"
"Mean",1.0175256694894,1.01784486577047,1.01984593542345,1.02712353832881
"Std.Dev",0.0898008470838062,0.0382531275137557,0.0378250257758528,0.0961447159870653
"Min",0.73385857448973,0.872290010408132,0.931463670896307,0.760464152507252
"Median",1.01275496802087,1.02015573667332,1.02147731350552,1.01773892378204
"Max",1.26265566204445,1.16383423163215,1.1176060545708,1.33387169134141
"N.Valid",130,130,130,117
"Pct.Valid",100,100,100,100
